id, timestamp, demand, frequency, coal, nuclear, ccgt, wind, pumped, hydro, biomass, oil, solar, ocgt, french_ict, dutch_ict, irish_ict, ew_ict, nemo, other, north_south, scotland_england
692291, 2018-01-01 00:00:34, 26450, 50.106998, 1150, 7266, 5072, 8641, 0, 352, 704, 0, 0, 0, 1703, 855, 187, 432, 0, 88, 0, 0
692292, 2018-01-01 00:05:33, 26354, 49.98, 1124, 7260, 5096, 8582, 0, 352, 699, 0, 0, 0, 1698, 836, 187, 432, 0, 88, 0, 0
692293, 2018-01-01 00:10:35, 26218, 49.992001, 1143, 7263, 5190, 8619, 0, 352, 710, 0, 0, 0, 1506, 718, 196, 432, 0, 89, 0, 0
692294, 2018-01-01 00:15:34, 26319, 50.001999, 1210, 7268, 5298, 8607, 0, 353, 749, 0, 0, 0, 1389, 717, 207, 432, 0, 89, 0, 0
692295, 2018-01-01 00:20:32, 26336, 49.990002, 1260, 7265, 5345, 8532, 0, 352, 757, 0, 0, 0, 1389, 708, 207, 432, 0, 89, 0, 0
692296, 2018-01-01 00:25:33, 26462, 50.001999, 1264, 7264, 5420, 8571, 0, 353, 759, 0, 0, 0, 1389, 714, 207, 432, 0, 89, 0, 0
692297, 2018-01-01 00:30:33, 26545, 50.139999, 1262, 7269, 5457, 8618, 0, 353, 760, 0, 0, 0, 1389, 709, 207, 432, 0, 89, 0, 0
692298, 2018-01-01 00:35:33, 26561, 50.084999, 1285, 7270, 5455, 8630, 0, 353, 756, 0, 0, 0, 1389, 695, 207, 432, 0, 89, 0, 0
692299, 2018-01-01 00:40:34, 26751, 50.021999, 1308, 7268, 5574, 8714, 0, 351, 749, 0, 0, 0, 1397, 668, 201, 432, 0, 89, 0, 0
692300, 2018-01-01 00:45:34, 27129, 50.040001, 1370, 7272, 5765, 8779, 0, 354, 758, 0, 0, 0, 1406, 704, 200, 432, 0, 89, 0, 0
692301, 2018-01-01 00:50:33, 27209, 49.966999, 1396, 7262, 5811, 8813, 0, 352, 754, 0, 0, 0, 1406, 694, 200, 432, 0, 89, 0, 0
692302, 2018-01-01 00:56:33, 27236, 49.950001, 1448, 7263, 5778, 8787, 0, 353, 758, 0, 0, 0, 1406, 723, 200, 432, 0, 88, 0, 0
692303, 2018-01-01 01:00:33, 27213, 49.931999, 1451, 7264, 5769, 8757, 0, 355, 759, 0, 0, 0, 1406, 732, 200, 432, 0, 88, 0, 0
692304, 2018-01-01 01:05:33, 27081, 49.935001, 1449, 7263, 5736, 8651, 0, 355, 759, 0, 0, 0, 1406, 742, 200, 432, 0, 88, 0, 0
692305, 2018-01-01 01:11:00, 27056, 50.036999, 1461, 7260, 5753, 8585, 0, 355, 756, 0, 0, 0, 1405, 752, 209, 432, 0, 88, 0, 0
692306, 2018-01-01 01:15:33, 27060, 49.966999, 1486, 7258, 5783, 8575, 0, 350, 754, 0, 0, 0, 1405, 718, 211, 432, 0, 88, 0, 0
692307, 2018-01-01 01:20:33, 27358, 49.98, 1521, 7266, 5997, 8613, 0, 349, 757, 0, 0, 0, 1405, 718, 211, 432, 0, 89, 0, 0
692308, 2018-01-01 01:25:34, 27463, 50.009998, 1551, 7269, 6031, 8652, 0, 349, 757, 0, 0, 0, 1405, 717, 211, 432, 0, 89, 0, 0
692309, 2018-01-01 01:30:33, 27419, 49.922001, 1564, 7268, 5961, 8673, 0, 349, 755, 0, 0, 0, 1405, 712, 211, 432, 0, 89, 0, 0
692310, 2018-01-01 01:35:33, 27258, 49.945, 1569, 7259, 5784, 8689, 0, 348, 755, 0, 0, 0, 1405, 717, 211, 432, 0, 89, 0, 0
692311, 2018-01-01 01:40:35, 27125, 50.007, 1587, 7258, 5616, 8674, 0, 349, 757, 0, 0, 0, 1405, 747, 211, 432, 0, 89, 0, 0
692312, 2018-01-01 01:45:34, 27020, 50.005001, 1587, 7259, 5577, 8630, 0, 347, 754, 0, 0, 0, 1405, 729, 211, 432, 0, 89, 0, 0
692313, 2018-01-01 01:50:33, 26882, 49.98, 1594, 7257, 5473, 8609, 0, 345, 754, 0, 0, 0, 1405, 713, 211, 432, 0, 89, 0, 0
692314, 2018-01-01 01:55:35, 26718, 49.965, 1584, 7255, 5313, 8624, 0, 344, 753, 0, 0, 0, 1405, 708, 211, 432, 0, 89, 0, 0
692315, 2018-01-01 02:00:34, 26459, 49.994999, 1593, 7259, 5095, 8538, 0, 347, 756, 0, 0, 0, 1404, 735, 211, 432, 0, 89, 0, 0
692316, 2018-01-01 02:05:34, 26345, 49.985001, 1586, 7259, 5053, 8492, 0, 345, 753, 0, 0, 0, 1405, 720, 211, 432, 0, 89, 0, 0
692317, 2018-01-01 02:10:33, 26324, 49.970001, 1591, 7264, 5192, 8457, 0, 340, 747, 0, 0, 0, 1323, 678, 211, 432, 0, 89, 0, 0
692318, 2018-01-01 02:15:33, 26321, 50.009998, 1585, 7258, 5240, 8447, 0, 338, 752, 0, 0, 0, 1302, 667, 211, 432, 0, 89, 0, 0
692319, 2018-01-01 02:20:33, 26310, 49.952, 1587, 7258, 5227, 8447, 0, 339, 754, 0, 0, 0, 1303, 663, 211, 432, 0, 89, 0, 0
692320, 2018-01-01 02:25:34, 26149, 49.955002, 1597, 7257, 5030, 8451, 0, 341, 754, 0, 0, 0, 1303, 684, 211, 432, 0, 89, 0, 0
692321, 2018-01-01 02:30:33, 25989, 50.02, 1557, 7253, 4946, 8418, 0, 340, 753, 0, 0, 0, 1303, 687, 211, 432, 0, 89, 0, 0
692322, 2018-01-01 02:35:33, 25866, 50.001999, 1510, 7252, 4900, 8400, 0, 334, 753, 0, 0, 0, 1303, 682, 211, 432, 0, 89, 0, 0
692323, 2018-01-01 02:40:35, 25773, 49.945, 1493, 7252, 4843, 8401, 0, 331, 754, 0, 0, 0, 1305, 662, 211, 432, 0, 89, 0, 0
692324, 2018-01-01 02:45:33, 25832, 50.001999, 1528, 7253, 4853, 8390, 0, 333, 755, 0, 0, 0, 1305, 683, 211, 432, 0, 89, 0, 0
692325, 2018-01-01 02:50:35, 25759, 49.924999, 1542, 7253, 4795, 8366, 0, 332, 755, 0, 0, 0, 1305, 679, 211, 432, 0, 89, 0, 0
692326, 2018-01-01 02:55:36, 25739, 49.987, 1607, 7253, 4673, 8413, 0, 319, 752, 0, 0, 0, 1305, 685, 211, 432, 0, 89, 0, 0
692327, 2018-01-01 03:00:33, 25739, 50.040001, 1607, 7253, 4673, 8413, 0, 319, 752, 0, 0, 0, 1305, 685, 211, 432, 0, 89, 0, 0
692328, 2018-01-01 03:05:33, 25680, 49.945, 1612, 7255, 4608, 8455, 0, 297, 755, 0, 0, 0, 1305, 661, 211, 432, 0, 89, 0, 0
692329, 2018-01-01 03:10:33, 25820, 49.955002, 1614, 7254, 4717, 8469, 0, 283, 756, 0, 0, 0, 1305, 690, 211, 432, 0, 89, 0, 0
692330, 2018-01-01 03:15:33, 25776, 49.98, 1614, 7249, 4647, 8506, 0, 282, 755, 0, 0, 0, 1305, 687, 211, 432, 0, 88, 0, 0
692331, 2018-01-01 03:20:33, 25614, 49.972, 1613, 7257, 4524, 8470, 0, 280, 757, 0, 0, 0, 1305, 676, 211, 432, 0, 89, 0, 0
692332, 2018-01-01 03:25:34, 25410, 49.974998, 1602, 7256, 4396, 8411, 0, 279, 758, 0, 0, 0, 1305, 671, 211, 432, 0, 89, 0, 0
692333, 2018-01-01 03:30:34, 25198, 49.957001, 1561, 7257, 4285, 8341, 0, 280, 757, 0, 0, 0, 1305, 679, 212, 432, 0, 89, 0, 0
692334, 2018-01-01 03:35:34, 25020, 49.962002, 1557, 7254, 4185, 8261, 0, 281, 756, 0, 0, 0, 1305, 687, 213, 432, 0, 89, 0, 0
692335, 2018-01-01 03:40:34, 24900, 49.992001, 1559, 7255, 4100, 8222, 0, 281, 758, 0, 0, 0, 1305, 686, 213, 432, 0, 89, 0, 0
692336, 2018-01-01 03:45:34, 24754, 49.965, 1556, 7256, 4005, 8192, 0, 278, 757, 0, 0, 0, 1305, 671, 213, 432, 0, 89, 0, 0
692337, 2018-01-01 03:50:32, 24616, 49.981998, 1556, 7263, 3853, 8199, 0, 277, 756, 0, 0, 0, 1304, 674, 213, 432, 0, 89, 0, 0
692338, 2018-01-01 03:55:34, 24455, 49.985001, 1559, 7263, 3695, 8191, 0, 278, 756, 0, 0, 0, 1305, 674, 213, 432, 0, 89, 0, 0
692339, 2018-01-01 04:00:33, 24329, 49.997002, 1557, 7255, 3619, 8154, 0, 279, 759, 0, 0, 0, 1305, 667, 213, 432, 0, 89, 0, 0
692340, 2018-01-01 04:05:34, 24272, 49.926998, 1542, 7255, 3570, 8170, 0, 283, 756, 0, 0, 0, 1305, 657, 213, 432, 0, 89, 0, 0
