time    grid demand      wind-nuclear generated      power to grid      power to h2 system      abandoned power      stored hydrogen      
0.00    132.25    230.00    132.25    97.75    0.00    0.000    
5.00    131.77    150.00    131.77    18.23    0.03    3.558    
10.00    131.09    230.00    131.09    98.91    0.00    4.843    
15.00    131.59    163.79    131.59    32.19    0.00    8.423    
20.00    131.68    230.00    131.68    98.32    0.00    10.435    
25.00    132.31    172.07    132.31    39.76    0.00    14.004    
30.00    132.72    214.88    132.72    82.16    0.00    16.248    
35.00    132.81    214.88    132.81    82.08    0.00    19.504    
40.00    133.75    150.00    133.75    16.25    0.05    22.759    
45.00    135.65    189.95    135.65    54.31    0.00    23.902    
50.00    136.05    172.07    136.05    36.02    0.00    26.537    
56.00    136.18    230.00    136.18    93.82    0.00    29.096    
60.00    136.06    150.00    136.06    13.94    0.04    31.883    
65.00    135.41    172.07    135.41    36.66    0.00    32.865    
71.00    135.28    157.53    135.28    22.25    0.00    35.448    
75.00    135.30    150.90    135.30    15.60    0.00    36.704    
80.00    136.79    189.95    136.79    53.16    0.00    37.806    
85.00    137.31    224.48    137.31    87.17    0.00    40.412    
90.00    137.09    150.00    137.09    12.91    0.01    43.768    
95.00    136.29    230.00    136.29    93.71    0.00    44.679    
100.00    135.62    230.00    135.62    94.38    0.00    48.161    
105.00    135.10    180.07    135.10    44.97    0.00    51.656    
110.00    134.41    230.00    134.41    95.59    0.00    54.047    
115.00    133.59    189.95    133.59    56.36    0.00    57.565    
120.00    132.30    230.00    132.30    97.70    0.00    60.249    
125.00    131.72    150.00    131.72    18.28    0.03    63.807    
130.00    131.62    230.00    131.62    98.38    0.00    65.095    
135.00    131.60    224.48    131.60    92.88    0.00    68.665    
140.00    131.55    150.00    131.55    18.45    0.05    72.132    
145.00    130.75    172.07    130.75    41.32    0.00    73.431    
150.00    129.94    150.00    129.94    20.06    0.01    75.720    
155.00    129.33    230.00    129.33    100.67    0.00    77.136    
160.00    128.87    189.95    128.87    61.09    0.00    80.748    
165.00    129.16    230.00    129.16    100.84    0.00    83.546    
170.00    128.80    150.00    128.80    21.20    0.00    87.161    
175.00    128.69    163.79    128.69    35.09    0.00    88.658    
180.00    128.69    150.00    128.69    21.31    0.01    90.762    
185.00    128.40    150.00    128.40    21.60    0.05    92.266    
190.00    129.10    172.07    129.10    42.97    0.00    93.788    
195.00    128.88    230.00    128.88    101.12    0.00    96.123    
200.00    128.07    214.88    128.07    86.81    0.00    99.743    
205.00    127.05    150.90    127.05    23.85    0.00    103.092    
210.00    125.99    150.00    125.99    24.01    0.01    104.776    
215.00    125.10    150.00    125.10    24.90    0.05    106.471    
220.00    124.50    150.00    124.50    25.50    0.00    108.226    
225.00    123.77    230.00    123.77    106.23    0.00    110.009    
230.00    123.08    224.48    123.08    101.40    0.00    113.722    
235.00    122.28    163.79    122.28    41.51    0.00    117.347    
240.00    121.64    180.07    121.64    58.43    0.00    119.641    
245.00    121.36    150.00    121.36    28.64    0.00    122.376    
250.00    120.68    189.95    120.68    69.27    0.00    124.271    
255.00    120.39    180.07    120.39    59.69    0.00    127.255    
260.00    119.92    150.00    119.92    30.08    0.00    130.020    
265.00    119.97    230.00    119.97    110.03    0.00    131.963    
270.00    120.00    230.00    120.00    110.00    0.00    135.742    
275.00    119.51    150.00    119.51    30.49    0.00    139.521    
280.00    119.33    157.53    119.33    38.20    0.00    141.477    
285.00    118.92    230.00    118.92    111.08    0.00    143.676    
290.00    118.75    217.59    118.75    98.84    0.00    147.473    
295.00    118.83    230.00    118.83    111.17    0.00    151.052    
300.00    118.91    230.00    118.91    111.09    0.00    154.851    
305.00    119.19    230.00    119.19    110.81    0.00    158.649    
310.00    118.78    163.79    118.78    45.01    0.00    162.442    
315.00    118.91    214.88    118.91    95.97    0.00    164.834    
320.00    119.63    230.00    119.63    110.37    0.00    168.359    
325.00    119.70    163.79    119.70    44.09    0.00    172.144    
330.00    119.44    230.00    119.44    110.56    0.00    174.511    
336.00    119.14    180.07    119.14    60.94    0.00    179.057    
340.00    118.75    230.00    118.75    111.25    0.00    181.293    
345.00    118.61    230.00    118.61    111.39    0.00    185.093    
350.00    119.06    206.65    119.06    87.58    0.00    188.896    
355.00    119.06    230.00    119.06    110.94    0.00    192.260    
360.00    119.90    200.79    119.90    80.89    0.00    196.056    
365.00    120.20    196.96    120.20    76.76    0.00    199.286    
370.00    122.14    230.00    122.14    107.86    0.00    202.431    
375.00    123.42    230.00    123.42    106.58    0.00    206.172    
380.00    123.41    214.88    123.41    91.47    0.00    209.890    
385.00    123.62    150.00    123.62    26.38    0.00    213.330    
390.00    124.21    230.00    124.21    105.79    0.00    215.146    
395.00    124.80    200.79    124.80    75.99    0.00    218.850    
400.00    124.98    157.53    124.98    32.55    0.00    221.979    
405.00    125.09    157.53    125.09    32.44    0.00    224.003    
410.00    125.20    150.00    125.20    24.80    0.05    226.023    
415.00    125.24    157.53    125.24    32.29    0.00    227.771    
420.00    126.06    172.07    126.06    46.01    0.00    229.786    
425.00    126.70    150.00    126.70    23.30    0.05    232.206    
430.00    124.86    230.00    124.86    105.14    0.00    233.847    
435.00    124.53    150.90    124.53    26.37    0.00    237.540    
440.00    124.01    172.07    124.01    48.06    0.00    239.355    
445.00    123.59    230.00    123.59    106.41    0.00    241.829    
450.00    123.06    150.90    123.06    27.84    0.00    245.544    
455.00    123.06    157.53    123.06    34.47    0.00    247.411    
460.00    122.92    150.00    122.92    27.08    0.00    249.495    
465.00    122.67    214.88    122.67    92.22    0.00    251.335    
470.00    122.32    214.88    122.32    92.56    0.00    254.789    
475.00    122.14    150.00    122.14    27.86    0.00    258.250    
480.00    122.25    230.00    122.25    107.75    0.00    260.117    
485.00    122.75    214.88    122.75    92.14    0.00    263.856    
490.00    123.01    214.88    123.01    91.88    0.00    267.309    
497.00    123.73    230.00    123.73    106.27    0.00    272.135    
500.00    124.48    150.90    124.48    26.42    0.00    274.363    
505.00    125.97    230.00    125.97    104.03    0.00    276.180    
510.00    126.52    224.48    126.52    97.97    0.00    279.853    
515.00    127.42    230.00    127.42    102.58    0.00    283.415    
520.00    128.36    150.00    128.36    21.64    0.04    287.061    
525.00    129.44    230.00    129.44    100.56    0.00    288.587    
530.00    130.35    150.00    130.35    19.65    0.05    292.197    
535.00    131.48    189.95    131.48    58.47    0.00    293.581    
540.00    132.95    230.00    132.95    97.05    0.00    296.317    
545.00    133.75    230.00    133.75    96.25    0.00    299.862    
550.00    134.31    230.00    134.31    95.69    0.00    303.392    
555.00    135.34    172.07    135.34    36.72    0.00    306.912    
560.00    137.12    230.00    137.12    92.88    0.00    309.065    
565.00    138.50    172.07    138.50    33.56    0.00    312.532    
570.00    139.19    230.00    139.19    90.81    0.00    314.588    
575.00    140.07    150.00    140.07    9.93    0.03    318.015    
