time    grid demand      wind-nuclear generated      power to grid      power to h2 system      abandoned power      stored hydrogen      
0.00    132.25    230.00    132.25    97.75    0.00    0.000    
60.00    136.06    150.00    136.06    13.94    0.04    31.883    
120.00    132.30    230.00    132.30    97.70    0.00    60.249    
180.00    128.69    150.00    128.69    21.31    0.01    90.762    
240.00    121.64    180.07    121.64    58.43    0.00    119.641    
300.00    118.91    230.00    118.91    111.09    0.00    154.851    
360.00    119.90    200.79    119.90    80.89    0.00    196.056    
420.00    126.06    172.07    126.06    46.01    0.00    229.786    
480.00    122.25    230.00    122.25    107.75    0.00    260.117    
540.00    132.95    230.00    132.95    97.05    0.00    296.317    
600.00    144.57    200.79    144.57    56.22    0.00    329.116    
660.00    155.04    180.07    155.04    25.03    0.00    354.263    
720.00    162.82    224.48    162.82    61.66    0.00    377.135    
780.00    166.09    230.00    166.09    63.91    0.00    401.718    
840.00    167.06    230.00    167.06    62.94    0.00    419.712    
900.00    168.69    230.00    168.69    61.31    0.00    435.280    
960.00    177.04    180.07    177.04    3.03    0.03    444.311    
1021.00    196.21    224.48    196.21    28.27    0.00    443.382    
1080.00    195.53    150.00    195.53    -45.53    0.00    453.522    
1140.00    187.91    230.00    187.91    42.09    0.00    447.684    
1200.00    176.42    230.00    176.42    53.58    0.00    433.993    
1260.00    164.18    180.07    164.18    15.90    0.05    444.051    
1320.00    152.12    230.00    152.12    77.88    0.00    458.705    
1380.00    137.53    163.79    137.53    26.26    0.00    488.320    
1440.00    131.19    230.00    131.19    98.81    0.00    525.687    
