year    NPP units   wind turbine units   PEM units   Installed Capacity (MW)   Energy to grid (MWh)   Energy to h2 system (MWh)   Energy abandoned (MWh)   h2 produced (kg)   
0     0   0   0   0.0   0.00   0.00   0.00   0.000   
1     0   0   0   0.0   0.00   0.00   0.00   0.000   
2     0   0   0   0.0   0.00   0.00   0.00   0.000   
3     1   11   35   72.0   459596.89   87440.33   0.00   32376.069   
4     1   11   35   72.0   459596.89   87440.33   0.00   32376.069   
5     2   22   70   144.0   919193.78   175939.92   0.00   65281.239   
6     2   22   70   144.0   919193.78   175939.92   0.00   65281.239   
7     3   33   105   216.0   1378790.67   265499.78   0.00   98567.322   
8     3   33   105   216.0   1378790.67   265499.78   0.00   98567.322   
9     4   44   140   288.0   1838387.56   351604.81   0.87   130857.734   
10     4   44   140   288.0   1838387.56   351604.81   0.87   130857.734   
11     5   55   175   360.0   2297984.45   444388.41   0.00   165013.664   
12     5   55   175   360.0   2297984.45   444388.41   0.00   165013.664   
13     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
14     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
15     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
16     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
17     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
18     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
19     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
20     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
21     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
22     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
23     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
24     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
25     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
26     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
27     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
28     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
29     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
30     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
31     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
32     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
33     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
34     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
35     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
36     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
37     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
38     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
39     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
40     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
41     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
42     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
43     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
44     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
45     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
46     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
47     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
48     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
49     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
50     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
51     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
52     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
53     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
54     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
55     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
56     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
57     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
58     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
59     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
60     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
61     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
62     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
63     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
64     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
65     6   66   210   432.0   2757581.34   527519.83   1.31   195382.086   
