time    grid demand      wind-nuclear generated      power to grid      power to h2 system      abandoned power      stored hydrogen      
0.00    264.50    429.76    264.50    165.26    0.00    0.000    
5.00    263.54    327.58    263.54    64.04    0.00    4.648    
10.00    262.18    460.00    262.18    197.82    0.00    7.514    
15.00    263.19    401.59    263.19    138.40    0.00    12.606    
20.00    263.36    344.14    263.36    80.78    0.00    16.853    
25.00    264.62    429.76    264.62    165.14    0.00    20.081    
30.00    265.45    429.76    265.45    164.31    0.00    24.728    
35.00    265.61    460.00    265.61    194.39    0.00    29.362    
40.00    267.51    460.00    267.51    192.49    0.00    34.409    
45.00    271.29    448.96    271.29    177.67    0.00    39.430    
50.00    272.09    460.00    272.09    187.91    0.00    44.252    
56.00    272.36    413.30    272.36    140.94    0.00    50.205    
60.00    272.13    301.80    272.13    29.67    0.00    53.635    
65.00    270.81    300.00    270.81    29.19    0.00    55.564    
71.00    270.56    460.00    270.56    189.44    0.00    57.859    
75.00    270.60    360.15    270.60    89.55    0.00    61.844    
80.00    273.58    460.00    273.58    186.42    0.00    65.247    
85.00    274.63    315.07    274.63    40.44    0.00    70.188    
90.00    274.19    315.07    274.19    40.88    0.00    72.451    
95.00    272.58    448.96    272.58    176.38    0.00    74.728    
100.00    271.25    460.00    271.25    188.75    0.00    79.532    
105.00    270.20    301.80    270.20    31.60    0.00    84.504    
110.00    268.82    379.90    268.82    111.08    0.00    86.497    
115.00    267.18    301.80    267.18    34.62    0.00    90.294    
120.00    264.59    460.00    264.59    195.41    0.00    92.384    
125.00    263.45    401.59    263.45    138.14    0.00    97.444    
130.00    263.24    300.00    263.24    36.76    0.00    101.687    
135.00    263.21    301.80    263.21    38.59    0.00    103.842    
140.00    263.10    315.07    263.10    51.97    0.00    106.052    
145.00    261.49    327.58    261.49    66.09    0.00    108.628    
150.00    259.89    460.00    259.89    200.11    0.00    111.541    
155.00    258.66    379.90    258.66    121.24    0.00    116.662    
160.00    257.73    327.58    257.73    69.85    0.00    120.633    
165.00    258.32    401.59    258.32    143.27    0.00    123.630    
170.00    257.59    344.14    257.59    86.55    0.00    127.952    
175.00    257.39    315.07    257.39    57.68    0.00    131.296    
180.00    257.39    301.80    257.39    44.41    0.00    134.013    
185.00    256.80    300.00    256.80    43.20    0.00    136.389    
190.00    258.20    460.00    258.20    201.80    0.00    138.731    
195.00    257.76    301.80    257.76    44.04    0.00    143.874    
200.00    256.14    327.58    256.14    71.44    0.00    146.240    
205.00    254.10    327.58    254.10    73.48    0.00    149.271    
210.00    251.98    393.92    251.98    141.94    0.00    152.347    
215.00    250.20    460.00    250.20    209.80    0.00    156.649    
220.00    249.00    460.00    249.00    211.00    0.00    161.895    
225.00    247.54    460.00    247.54    212.46    0.00    167.156    
230.00    246.16    344.14    246.16    97.98    0.00    172.435    
235.00    244.55    300.00    244.55    55.45    0.00    175.998    
240.00    243.29    300.00    243.29    56.71    0.00    178.660    
245.00    242.72    300.00    242.72    57.28    0.00    181.354    
250.00    241.36    379.90    241.36    138.54    0.00    184.061    
255.00    240.77    401.59    240.77    160.82    0.00    188.310    
260.00    239.84    460.00    239.84    220.16    0.00    192.894    
265.00    239.93    344.14    239.93    104.21    0.00    198.270    
270.00    240.01    401.59    240.01    161.58    0.00    201.946    
275.00    239.02    300.00    239.02    60.98    0.00    206.541    
280.00    238.66    344.14    238.66    105.48    0.00    209.336    
285.00    237.85    460.00    237.85    222.15    0.00    213.035    
290.00    237.49    315.07    237.49    77.58    0.00    218.435    
295.00    237.66    460.00    237.66    222.34    0.00    221.597    
300.00    237.82    460.00    237.82    222.18    0.00    227.000    
305.00    238.37    448.96    238.37    210.59    0.00    232.400    
310.00    237.55    460.00    237.55    222.45    0.00    237.656    
315.00    237.82    379.90    237.82    142.08    0.00    243.060    
320.00    239.26    448.96    239.26    209.70    0.00    247.364    
325.00    239.39    460.00    239.39    220.61    0.00    252.609    
330.00    238.87    393.92    238.87    155.05    0.00    257.990    
336.00    238.27    327.58    238.27    89.31    0.00    263.390    
340.00    237.51    460.00    237.51    222.49    0.00    266.108    
345.00    237.22    344.14    237.22    106.92    0.00    271.513    
350.00    238.13    429.76    238.13    191.63    0.00    275.237    
355.00    238.13    344.14    238.13    106.01    0.00    280.247    
360.00    239.80    429.76    239.80    189.96    0.00    283.956    
365.00    240.40    460.00    240.40    219.60    0.00    288.944    
370.00    244.29    460.00    244.29    215.71    0.00    294.313    
375.00    246.84    393.92    246.84    147.08    0.00    299.633    
380.00    246.82    460.00    246.82    213.18    0.00    304.013    
385.00    247.23    327.58    247.23    80.35    0.00    309.302    
390.00    248.42    460.00    248.42    211.58    0.00    312.521    
395.00    249.60    460.00    249.60    210.40    0.00    317.790    
400.00    249.96    344.14    249.96    94.18    0.00    323.043    
405.00    250.19    301.80    250.19    51.61    0.00    326.534    
410.00    250.41    460.00    250.41    209.59    0.00    329.101    
415.00    250.48    360.15    250.48    109.67    0.00    334.344    
420.00    252.12    327.58    252.12    75.46    0.00    338.117    
425.00    253.41    429.76    253.41    176.35    0.00    341.234    
430.00    249.72    460.00    249.72    210.28    0.00    346.038    
435.00    249.06    460.00    249.06    210.94    0.00    351.290    
440.00    248.02    360.15    248.02    112.13    0.00    356.550    
445.00    247.19    379.90    247.19    132.71    0.00    360.366    
450.00    246.13    327.58    246.13    81.45    0.00    364.524    
455.00    246.13    327.58    246.13    81.45    0.00    367.765    
460.00    245.84    460.00    245.84    214.16    0.00    371.007    
465.00    245.33    448.96    245.33    203.63    0.00    376.308    
470.00    244.64    300.00    244.64    55.36    0.00    381.475    
475.00    244.28    300.00    244.28    55.72    0.00    384.135    
480.00    244.49    448.96    244.49    204.47    0.00    386.805    
485.00    245.49    460.00    245.49    214.51    0.00    391.983    
490.00    246.01    360.15    246.01    114.14    0.00    397.288    
497.00    247.45    327.58    247.45    80.13    0.00    402.679    
500.00    248.96    300.00    248.96    51.04    0.00    404.607    
505.00    251.93    300.00    251.93    48.07    0.00    407.159    
510.00    253.03    300.00    253.03    46.97    0.00    409.633    
515.00    254.84    327.58    254.84    72.74    0.00    412.078    
520.00    256.72    460.00    256.72    203.28    0.00    415.138    
525.00    258.87    448.96    258.87    190.09    0.00    420.301    
530.00    260.71    315.07    260.71    54.36    0.00    425.291    
535.00    262.96    460.00    262.96    197.04    0.00    427.926    
540.00    265.90    401.59    265.90    135.69    0.00    433.008    
545.00    267.50    460.00    267.50    192.50    0.00    437.212    
550.00    268.62    460.00    268.62    191.38    0.00    442.234    
555.00    270.69    460.00    270.69    189.31    0.00    447.241    
560.00    274.25    460.00    274.25    185.75    0.00    452.221    
565.00    277.01    379.90    277.01    102.89    0.00    457.153    
570.00    278.39    300.00    278.39    21.61    0.01    460.805    
575.00    280.14    448.96    280.14    168.82    0.00    462.330    
580.00    282.35    460.00    282.35    177.65    0.00    467.029    
585.00    283.30    300.00    283.30    16.70    0.05    471.850    
590.00    285.08    460.00    285.08    174.92    0.00    473.026    
595.00    286.95    300.00    286.95    13.05    0.00    477.810    
600.00    289.14    300.00    289.14    10.86    0.01    478.731    
