time    grid demand      wind-nuclear generated      power to grid      power to h2 system      abandoned power      stored hydrogen      
0.00    264.50    429.76    264.50    165.26    0.00    0.000    
60.00    272.13    301.80    272.13    29.67    0.00    53.635    
120.00    264.59    460.00    264.59    195.41    0.00    92.384    
180.00    257.39    301.80    257.39    44.41    0.00    134.013    
240.00    243.29    300.00    243.29    56.71    0.00    178.660    
300.00    237.82    460.00    237.82    222.18    0.00    227.000    
360.00    239.80    429.76    239.80    189.96    0.00    283.956    
420.00    252.12    327.58    252.12    75.46    0.00    338.117    
480.00    244.49    448.96    244.49    204.47    0.00    386.805    
540.00    265.90    401.59    265.90    135.69    0.00    433.008    
600.00    289.14    300.00    289.14    10.86    0.01    478.731    
660.00    310.08    300.00    310.08    -10.08    0.00    504.211    
720.00    325.64    460.00    325.64    134.36    0.00    523.463    
780.00    332.18    344.14    332.18    11.96    0.01    547.493    
840.00    334.13    448.96    334.13    114.83    0.00    561.221    
900.00    337.39    460.00    337.39    122.61    0.00    577.039    
960.00    354.08    300.00    354.08    -54.08    0.00    578.055    
1021.00    392.42    360.15    392.42    -32.27    0.00    586.259    
1080.00    391.06    301.80    391.06    -89.26    0.00    587.966    
1140.00    375.82    460.00    375.82    84.18    0.00    588.071    
1200.00    352.84    344.14    352.84    -8.70    0.00    590.334    
1260.00    328.35    327.58    328.35    -0.77    0.00    603.423    
1320.00    304.24    448.96    304.24    144.72    0.00    613.554    
1380.00    275.05    344.14    275.05    69.09    0.00    651.301    
1440.00    262.37    401.59    262.37    139.22    0.00    699.468    
