#year    cash flow    
0    0.0      
1    -334.8488010470617      
2    -817.8976020941234      
3    -1079.717099032029      
4    -1489.7365959699346      
5    -1678.5267887986838      
6    -2015.516981627433      
7    -2131.2778703470262      
8    -2395.2387590666194      
9    -2437.9703436770565      
10    -2628.9019282874933      
11    -2598.6042087887745      
12    -2716.506489290056      
13    -2278.330664635119      
14    -1840.1548399801816      
15    -1401.9790153252445      
16    -963.8031906703075      
17    -525.6273660153704      
18    -87.45154136043331      
19    350.7242832945037      
20    788.9001079494408      
21    1227.0759326043778      
22    1665.251757259315      
23    2043.427581914252      
24    2481.603406569189      
25    2859.779231224126      
26    3297.955055879063      
27    3676.130880534      
28    4114.3067051889375      
29    4492.4825298438745      
30    4930.658354498812      
31    5308.834179153749      
32    5747.010003808686      
33    6036.985828463623      
34    6475.16165311856      
35    6825.137477773496      
36    7263.313302428433      
37    7613.28912708337      
38    8051.464951738308      
39    8401.440776393245      
40    8839.616601048183      
41    9189.59242570312      
42    9627.768250358058      
43    9917.744075012995      
44    10355.919899667933      
45    10734.095724322871      
46    11172.27154897781      
47    11550.447373632747      
48    11988.623198287685      
49    12366.799022942623      
50    12804.974847597561      
51    13183.1506722525      
52    13621.326496907437      
53    13999.502321562375      
54    14437.678146217313      
55    14875.853970872251      
56    15314.029795527189      
57    15752.205620182127      
58    16190.381444837065      
59    16628.557269492      
60    17066.733094146937      
61    17504.908918801873      
62    17943.08474345681      
63    18381.260568111746      
64    18819.436392766682      
65    19257.612217421618      
66    19695.788042076554      
