#year    cash flow    
0    0.0      
1    -334.8488010470617      
2    -817.8976020941234      
3    -1079.7693164742727      
4    -1489.8410308544221      
5    -1678.7356585676591      
6    -2015.8302862808962      
7    -2131.747827327221      
8    -2395.8653683735456      
9    -2438.8058227529577      
10    -2629.9462771323697      
11    -2599.90964484487      
12    -2718.0730125573705      
13    -2280.210492555896      
14    -1842.3479725544219      
15    -1404.485452552948      
16    -966.6229325514737      
17    -528.7604125499995      
18    -90.89789254852533      
19    346.9646274529489      
20    784.8271474544231      
21    1222.6896674558973      
22    1660.5521874573712      
23    2038.4147074588452      
24    2476.2772274603194      
25    2854.139747461794      
26    3292.0022674632683      
27    3669.8647874647427      
28    4107.727307466217      
29    4485.589827467691      
30    4923.452347469165      
31    5301.314867470639      
32    5739.177387472113      
33    6028.839907473587      
34    6466.702427475061      
35    6816.364947476535      
36    7254.227467478009      
37    7603.889987479483      
38    8041.752507480957      
39    8391.415027482431      
40    8829.277547483905      
41    9178.94006748538      
42    9616.802587486854      
43    9906.46510748833      
44    10344.327627489803      
45    10722.190147491277      
46    11160.052667492751      
47    11537.915187494225      
48    11975.7777074957      
49    12353.640227497173      
50    12791.502747498647      
51    13169.365267500121      
52    13607.227787501595      
53    13985.09030750307      
54    14422.952827504543      
55    14860.815347506017      
56    15298.677867507491      
57    15736.540387508965      
58    16174.402907510439      
59    16612.265427511913      
60    17050.127947513385      
61    17487.990467514857      
62    17925.85298751633      
63    18363.7155075178      
64    18801.578027519274      
65    19239.440547520746      
66    19677.303067522218      
